fryer_temperature,frying_time,moisture_content,slice_thickness,oil_quality_index,defect_percentage
168.7,2.74,2.83,2.35,0.786,22.38
197.5,4.17,2.73,2.59,0.903,51.15
186.6,5.49,7.34,1.5,0.88,44.77
179.9,4.93,2.75,2.25,0.577,52.32
157.8,5.23,2.9,2.14,0.575,37.5
157.8,4.64,6.32,2.67,0.634,26.87
152.9,4.77,4.15,2.81,0.681,25.44
193.3,5.4,6.44,1.02,0.704,58.63
180.1,3.0,1.46,2.35,0.84,36.28
185.4,3.96,4.41,1.1,0.528,50.64
151.0,2.88,1.24,2.1,0.517,36.31
198.5,5.95,1.44,1.58,0.696,81.0
191.6,5.78,7.35,1.61,0.849,53.01
160.6,2.16,1.97,1.71,0.597,24.54
159.1,4.82,4.73,2.24,0.821,24.22
159.2,5.7,3.88,1.67,0.63,35.68
165.2,2.72,3.43,2.47,0.943,19.61
176.2,4.27,7.3,1.81,0.948,27.13
171.6,5.66,1.15,1.14,0.649,45.96
164.6,2.14,5.65,2.57,0.615,25.62
180.6,4.79,7.74,1.57,0.706,40.49
157.0,3.19,4.92,1.87,0.62,26.38
164.6,5.7,7.56,2.37,0.836,23.92
168.3,5.88,1.37,1.66,0.913,38.23
172.8,5.78,3.93,1.11,0.837,41.0
189.3,3.9,2.82,1.75,0.912,41.13
160.0,5.45,6.12,2.89,0.698,33.45
175.7,5.38,7.87,2.28,0.578,43.92
179.6,3.28,2.8,2.34,0.869,31.59
152.3,5.32,5.58,2.26,0.68,24.3
180.4,2.15,2.39,1.4,0.836,33.43
158.5,4.39,4.96,1.84,0.635,29.07
153.3,2.92,4.25,2.5,0.541,25.15
197.4,2.48,7.8,1.2,0.996,43.85
198.3,2.31,5.26,1.56,0.578,60.52
190.4,4.79,3.45,1.55,0.994,54.04
165.2,3.36,1.8,1.86,0.989,23.07
154.9,4.9,2.06,2.96,0.897,20.14
184.2,2.26,2.58,1.14,0.83,41.54
172.0,3.26,2.76,2.04,0.789,34.32
156.1,4.16,6.95,1.36,0.933,26.08
174.8,5.16,4.93,2.94,0.645,35.45
151.7,3.28,4.66,1.23,0.734,22.8
195.5,4.5,1.8,1.81,0.81,56.61
162.9,5.54,7.02,2.48,0.706,30.32
183.1,4.46,6.06,2.41,0.714,40.03
165.6,2.93,1.47,1.85,0.665,35.77
176.0,2.1,5.95,1.69,0.782,21.65
177.3,5.48,4.8,1.8,0.925,32.14
159.2,2.09,1.57,1.53,0.601,25.13
198.5,5.5,4.21,1.41,0.967,59.41
188.8,4.12,4.39,1.97,0.845,48.67
197.0,5.76,2.16,1.54,0.912,62.26
194.7,5.2,7.62,1.57,0.778,58.43
179.9,5.99,6.95,2.31,0.89,32.54
196.1,3.4,5.68,2.94,0.508,58.13
154.4,5.07,4.24,2.21,0.909,27.17
159.8,3.61,3.88,1.15,0.52,33.94
152.3,3.92,5.56,1.15,0.945,14.56
166.3,4.51,4.82,2.9,0.996,19.48
169.4,5.49,1.44,1.59,0.647,44.38
163.6,5.94,4.59,1.18,0.605,41.72
191.4,5.07,6.64,2.2,0.883,45.54
167.8,3.67,4.21,2.25,0.627,32.37
164.0,3.69,1.36,2.3,0.933,15.21
177.1,4.95,6.5,1.53,0.551,42.21
157.0,2.96,2.41,1.03,0.563,29.1
190.1,2.44,2.81,2.93,0.99,37.64
153.7,3.42,2.15,1.5,0.837,22.73
199.3,3.15,3.31,2.35,0.923,51.08
188.6,3.19,6.3,2.41,0.662,40.52
159.9,2.93,4.64,2.22,0.838,17.52
150.3,2.17,2.43,1.63,0.797,17.87
190.8,2.07,7.14,1.54,0.802,36.02
185.3,5.95,7.16,2.2,0.841,44.83
186.5,3.71,7.09,2.73,0.788,39.66
188.6,3.54,2.67,2.89,0.715,45.93
153.7,4.72,4.16,1.21,0.638,31.22
167.9,2.87,7.89,1.31,0.884,23.16
155.8,5.8,6.4,2.89,0.613,25.23
193.2,5.15,1.19,2.47,0.846,55.09
181.2,2.36,1.46,2.77,0.617,40.94
166.5,3.67,4.25,1.41,0.813,24.27
153.2,5.52,7.36,2.18,0.874,19.44
165.5,5.78,4.77,2.4,0.609,34.99
166.3,3.87,4.48,2.36,0.53,31.94
186.5,4.45,1.74,1.82,0.565,62.47
181.9,2.67,5.6,1.03,0.803,35.97
194.4,5.96,6.75,2.17,0.925,59.46
173.6,2.93,3.66,1.51,0.522,32.95
156.0,5.77,6.43,1.9,0.867,20.8
185.7,4.6,7.75,2.92,0.671,34.34
188.0,4.43,2.43,1.8,0.739,50.94
178.1,4.05,4.66,2.68,0.964,31.24
188.5,2.92,3.01,1.38,0.666,50.88
174.7,2.71,6.55,2.34,0.733,23.9
176.1,2.88,5.04,2.95,0.507,33.88
171.4,2.75,5.44,1.2,0.541,30.36
151.3,5.12,6.59,1.02,0.629,30.53
155.4,3.4,3.77,1.87,0.514,31.66
151.6,2.23,7.41,1.19,0.816,6.98
181.8,5.88,4.73,2.5,0.713,49.25
165.7,5.54,2.11,2.83,0.774,37.02
175.4,5.71,5.87,1.87,0.587,43.63
195.4,5.98,6.55,1.52,0.648,70.82
162.5,2.7,3.22,1.87,0.832,28.46
170.5,3.58,7.0,2.45,0.983,16.51
187.8,5.03,7.34,1.02,0.525,58.39
161.4,4.78,2.94,2.18,0.945,22.04
153.8,2.62,7.88,2.23,0.788,11.59
164.5,5.26,1.98,2.28,0.782,35.1
158.1,2.9,2.41,1.48,0.75,24.44
196.5,2.9,2.29,2.43,0.535,59.46
190.4,4.15,7.26,1.18,0.545,56.22
181.7,4.37,5.58,1.4,0.8,44.65
193.6,4.32,2.06,2.75,0.67,61.93
190.2,2.37,4.08,2.48,0.959,38.61
159.3,5.51,5.31,1.03,0.703,32.34
194.6,3.06,1.58,1.5,0.572,65.06
177.0,2.52,7.18,1.43,0.857,24.15
190.4,5.55,6.63,1.54,0.647,56.35
194.8,5.82,4.54,1.5,0.763,67.52
165.9,5.45,7.77,1.13,0.849,24.92
155.5,5.24,3.92,1.92,0.95,21.2
161.4,4.62,7.89,2.47,0.896,17.83
171.4,4.2,5.68,2.21,0.838,27.77
190.9,2.35,5.44,2.35,0.84,34.95
193.0,3.63,2.16,1.16,0.973,54.43
150.3,3.49,7.17,2.9,0.648,19.31
175.5,3.04,3.99,2.68,0.501,34.4
170.9,4.89,2.14,2.61,0.636,34.99
